name,rank,lineage,,,,,,,
Agrobacterium fabrum,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Rhizobiaceae__82115,g__Agrobacterium__357,s__Agrobacterium fabrum__1176649,
Catenulisporales,order,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Catenulisporales__414714,,,,
Arthrobacter monumenti,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Arthrobacter__1663,s__Arthrobacter monumenti__163875,
Cupriavidus basilensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Burkholderiaceae__119060,g__Cupriavidus__106589,s__Cupriavidus basilensis__68895,
Peptoclostridium litorale,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Peptoclostridiaceae__3120161,g__Peptoclostridium__1481960,s__Peptoclostridium litorale__1557,
Acetonema longum,species,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Selenomonadales__909929,f__Sporomusaceae__1843490,g__Acetonema__2373,s__Acetonema longum__2374,
Exiguobacterium oxidotolerans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,g__Exiguobacterium__33986,s__Exiguobacterium oxidotolerans__223958,,
Rhodovulum sulfidophilum,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Paracoccaceae__31989,g__Rhodovulum__34008,s__Rhodovulum sulfidophilum__35806,
Planktothrix serta,species,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Oscillatoriales__1150,f__Microcoleaceae__1892252,g__Planktothrix__54304,s__Planktothrix serta__1678310,
Desulfopila aestuarii,species,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfobulbia__3031451,o__Desulfobulbales__3024411,f__Desulfocapsaceae__2886822,g__Desulfopila__429014,s__Desulfopila aestuarii__231440,
Microbacterium hominis,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Microbacteriaceae__85023,g__Microbacterium__33882,s__Microbacterium hominis__162426,
Cnuella,genus,sk__Bacteria__2,p__Bacteroidota__976,c__Chitinophagia__1853228,o__Chitinophagales__1853229,f__Chitinophagaceae__563835,g__Cnuella__1648511,,
Catenulispora,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Catenulisporales__414714,f__Catenulisporaceae__414877,g__Catenulispora__414878,,
Streptacidiphilus neutrinimicus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptacidiphilus__228398,s__Streptacidiphilus neutrinimicus__105420,
Alishewanella,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Alteromonadales__135622,f__Alteromonadaceae__72275,g__Alishewanella__111142,,
Ureibacillus suwonensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Planococcaceae__186818,g__Ureibacillus__160795,s__Ureibacillus suwonensis__313007,
Lactobacillus sp. NBRC 106042,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus sp. NBRC 106042__1113981,
Owenweeksia hongkongensis,species,sk__Bacteria__2,p__Bacteroidota__976,c__Flavobacteriia__117743,o__Flavobacteriales__200644,f__Owenweeksiaceae__3024551,g__Owenweeksia__267986,s__Owenweeksia hongkongensis__253245,
Azospira,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Rhodocyclales__206389,f__Rhodocyclaceae__75787,g__Azospira__146937,,
Streptomyces albus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces albus__1888,
Rhodovulum,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Paracoccaceae__31989,g__Rhodovulum__34008,,
Tindallia magadiensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Tindalliaceae__3118658,g__Tindallia__69894,s__Tindallia magadiensis__69895,
Paenibacillus naphthalenovorans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Paenibacillaceae__186822,g__Paenibacillus__44249,s__Paenibacillus naphthalenovorans__162209,
Kocuria palustris,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Kocuria__57493,s__Kocuria palustris__71999,
Pediococcus damnosus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Pediococcus__1253,s__Pediococcus damnosus__51663,
Leeia,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Leeiaceae__2897178,g__Leeia__650341,,
Catenulisporaceae,family,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Catenulisporales__414714,f__Catenulisporaceae__414877,,,
Scytonemataceae,family,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Nostocales__1161,f__Scytonemataceae__1182,,,
Spiroplasma floricola,species,sk__Bacteria__2,p__Mycoplasmatota__544448,c__Mollicutes__31969,o__Entomoplasmatales__186328,f__Spiroplasmataceae__2131,g__Spiroplasma__2132,s__Spiroplasma floricola__216937,
Cellulomonas flavigena,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Cellulomonadaceae__85016,g__Cellulomonas__1707,s__Cellulomonas flavigena__1711,
Lentilactobacillus hilgardii,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lentilactobacillus__2767893,s__Lentilactobacillus hilgardii__1588,
Geitlerinema,genus,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Geitlerinematales__3079751,f__Geitlerinemataceae__3079752,g__Geitlerinema__63132,,
Desulfopila,genus,sk__Bacteria__2,p__Thermodesulfobacteriota__200940,c__Desulfobulbia__3031451,o__Desulfobulbales__3024411,f__Desulfocapsaceae__2886822,g__Desulfopila__429014,,
Blautia coccoides,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Blautia__572511,s__Blautia coccoides__1532,
Alcanivorax sp. NBRC 102021,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Oceanospirillales__135619,f__Alcanivoracaceae__224372,g__Alcanivorax__59753,s__Alcanivorax sp. NBRC 102021__1113892,
marine gamma proteobacterium HTCC2080,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Cellvibrionales__1706369,f__Halieaceae__1706372,s__marine gamma proteobacterium HTCC2080__247639,,
Secundilactobacillus collinoides,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Secundilactobacillus__2767892,s__Secundilactobacillus collinoides__33960,
Granulicatella elegans,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Granulicatella__117563,s__Granulicatella elegans__137732,
Streptomyces fulvorobeus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces fulvorobeus__284028,
Leuconostoc fallax,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Leuconostoc__1243,s__Leuconostoc fallax__1251,
Ligilactobacillus apodemi,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Ligilactobacillus__2767887,s__Ligilactobacillus apodemi__307126,
Georgenia halophila,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Bogoriellaceae__145358,g__Georgenia__154116,s__Georgenia halophila__620889,
Lentilactobacillus otakiensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lentilactobacillus__2767893,s__Lentilactobacillus otakiensis__481720,
Aeromonas taiwanensis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Aeromonadales__135624,f__Aeromonadaceae__84642,g__Aeromonas__642,s__Aeromonas taiwanensis__633417,
Myceligenerans crystallogenes,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Promicromonosporaceae__85017,g__Myceligenerans__253183,s__Myceligenerans crystallogenes__316335,
Lacticaseibacillus suibinensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lacticaseibacillus__2759736,s__Lacticaseibacillus suibinensis__2486011,
Proteiniphilum acetatigenes,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Dysgonomonadaceae__2005520,g__Proteiniphilum__294702,s__Proteiniphilum acetatigenes__294710,
Slackia equolifaciens,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Eggerthellales__1643822,f__Eggerthellaceae__1643826,g__Slackia__84108,s__Slackia equolifaciens__498718,
Candidatus Stoquefichus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Erysipelotrichaceae__128827,g__Candidatus Stoquefichus__1470349,,
Tropheryma,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Tropherymataceae__2805591,g__Tropheryma__2038,,
Renibacterium,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Micrococcaceae__1268,g__Renibacterium__1645,,
Aldersonia,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Mycobacteriales__85007,f__Nocardiaceae__85025,g__Aldersonia__2767320,,
Streptococcus ferus,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Streptococcaceae__1300,g__Streptococcus__1301,s__Streptococcus ferus__1345,
Bacteroides sp. D1,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. D1__556258,
Klebsiella pneumoniae UCICRE 4,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Klebsiella__570,s__Klebsiella pneumoniae__573,st__Klebsiella pneumoniae UCICRE 4__1328391
Myceligenerans,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Promicromonosporaceae__85017,g__Myceligenerans__253183,,
Porphyromonas cangingivalis,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Porphyromonadaceae__171551,g__Porphyromonas__836,s__Porphyromonas cangingivalis__36874,
Paracoccus marcusii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Paracoccaceae__31989,g__Paracoccus__265,s__Paracoccus marcusii__59779,
Lactobacillus sp. NBRC 106038,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus sp. NBRC 106038__1113977,
Georgenia,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Bogoriellaceae__145358,g__Georgenia__154116,,
Bifidobacterium lemurum,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Bifidobacteriales__85004,f__Bifidobacteriaceae__31953,g__Bifidobacterium__1678,s__Bifidobacterium lemurum__1603886,
Proteiniphilum,genus,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Dysgonomonadaceae__2005520,g__Proteiniphilum__294702,,
Tropherymataceae,family,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Tropherymataceae__2805591,,,
Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536,strain,sk__Bacteria__2,p__Spirochaetota__203691,c__Spirochaetia__203692,o__Spirochaetales__136,f__Treponemataceae__2845253,g__Treponema__157,s__Treponema socranskii__53419,st__Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536__1125725
Peptoniphilus ivorii,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus ivorii__54006,
[Eubacterium] brachy,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Eubacteriales Family XIII. Incertae Sedis__543314,s__[Eubacterium] brachy__35517,,
Alteromonadaceae,family,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Alteromonadales__135622,f__Alteromonadaceae__72275,,,
Halieaceae,family,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Cellvibrionales__1706369,f__Halieaceae__1706372,,,
Lentilactobacillus kisonensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lentilactobacillus__2767893,s__Lentilactobacillus kisonensis__481722,
Phocaeicola vulgatus,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola vulgatus__821,
Dysgonomonadaceae,family,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Dysgonomonadaceae__2005520,,,
Segatella oulorum JCM 14966,strain,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Prevotellaceae__171552,g__Segatella__2974251,s__Segatella oulorum__28136,st__Segatella oulorum JCM 14966__1236497
Xenorhabdus,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Xenorhabdus__626,,
Lactobacillus porci,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus porci__2012477,
Veillonella criceti,species,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Veillonella__29465,s__Veillonella criceti__103891,
Streptomyces pactum,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Streptomyces__1883,s__Streptomyces pactum__68249,
Enhydrobacter aerosaccus SK60,strain,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,g__Enhydrobacter__212791,s__Enhydrobacter aerosaccus__225324,st__Enhydrobacter aerosaccus SK60__553217,
Veillonella,genus,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Veillonellales__1843489,f__Veillonellaceae__31977,g__Veillonella__29465,,
Peptostreptococcus canis,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Peptostreptococcales__3082720,f__Peptostreptococcaceae__186804,g__Peptostreptococcus__1257,s__Peptostreptococcus canis__1159213,
Chitinimonas sp. YIM 77919,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Neisseriales__206351,f__Chitinibacteraceae__2897177,g__Chitinimonas__240411,s__Chitinimonas sp. YIM 77919__1411119,
Peterkaempfera,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Peterkaempfera__2995704,,
Bacteroides sp. AF29-11,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AF29-11__2292928,
Companilactobacillus heilongjiangensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Companilactobacillus__2767879,s__Companilactobacillus heilongjiangensis__1074467,
Acetobacterium paludosum,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Eubacteriaceae__186806,g__Acetobacterium__33951,s__Acetobacterium paludosum__52693,
Actinomadura viridilutea,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Streptosporangiales__85012,f__Thermomonosporaceae__2012,g__Actinomadura__1988,s__Actinomadura viridilutea__58112,
Morganellaceae,family,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,,,
Bacteroides sp. AM28-6,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Bacteroides__816,s__Bacteroides sp. AM28-6__2292948,
Enterocloster citroniae,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Lachnospiraceae__186803,g__Enterocloster__2719313,s__Enterocloster citroniae__358743,
Novosphingobium sp. YIM78034,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Sphingomonadales__204457,f__Sphingomonadaceae__41297,g__Novosphingobium__165696,s__Novosphingobium sp. YIM78034__1652017,
Proteus genomosp. 6,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Morganellaceae__1903414,g__Proteus__583,s__Proteus genomosp. 6__1311820,
Dysgonomonas sp. BGC7,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Dysgonomonadaceae__2005520,g__Dysgonomonas__156973,s__Dysgonomonas sp. BGC7__1658008,
Lactobacillus sp. NBRC 106047,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus sp. NBRC 106047__1113986,
Desulfofundulus thermocisternus,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Peptococcaceae__186807,g__Desulfofundulus__2282741,s__Desulfofundulus thermocisternus__42471,
Staphylococcus equorum,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Staphylococcaceae__90964,g__Staphylococcus__1279,s__Staphylococcus equorum__246432,
Actinomyces sp. HMSC075C01,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Actinomycetales__2037,f__Actinomycetaceae__2049,g__Actinomyces__1654,s__Actinomyces sp. HMSC075C01__1739387,
Agromyces cerinus,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Microbacteriaceae__85023,g__Agromyces__33877,s__Agromyces cerinus__33878,
Giesbergeria anulus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Giesbergeria__352449,s__Giesbergeria anulus__180197,
Bogoriellaceae,family,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Micrococcales__85006,f__Bogoriellaceae__145358,,,
Marinobacteraceae,family,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Pseudomonadales__72274,f__Marinobacteraceae__2887365,,,
Selenomonas bovis,species,sk__Bacteria__2,p__Bacillota__1239,c__Negativicutes__909932,o__Selenomonadales__909929,f__Selenomonadaceae__1843491,g__Selenomonas__970,s__Selenomonas bovis__416586,
Cellulosilyticum,genus,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Lachnospirales__3085636,f__Cellulosilyticaceae__3018741,g__Cellulosilyticum__698776,,
Leuconostoc carnosum,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Leuconostoc__1243,s__Leuconostoc carnosum__1252,
Methylarcula,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodobacterales__204455,f__Paracoccaceae__31989,g__Methylarcula__72021,,
Ramlibacter,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Ramlibacter__174951,,
Ramlibacter sp. HTCC332,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Ramlibacter__174951,s__Ramlibacter sp. HTCC332__260354,
Halomonas sp. YIM-kkny11,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Oceanospirillales__135619,f__Halomonadaceae__28256,g__Halomonas__2745,s__Halomonas sp. YIM-kkny11__202267,
Enterorhabdus,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Coriobacteriia__84998,o__Eggerthellales__1643822,f__Eggerthellaceae__1643826,g__Enterorhabdus__580024,,
Asticcacaulis excentricus,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Caulobacterales__204458,f__Caulobacteraceae__76892,g__Asticcacaulis__76890,s__Asticcacaulis excentricus__78587,
Cronobacter muytjensii,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Cronobacter__413496,s__Cronobacter muytjensii__413501,
Lactobacillus gallinarum,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus gallinarum__52242,
Nocardiopsis,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Streptosporangiales__85012,f__Nocardiopsaceae__83676,g__Nocardiopsis__2013,,
Phocaeicola salanitronis,species,sk__Bacteria__2,p__Bacteroidota__976,c__Bacteroidia__200643,o__Bacteroidales__171549,f__Bacteroidaceae__815,g__Phocaeicola__909656,s__Phocaeicola salanitronis__376805,
Lactobacillus ultunensis,species,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Lactobacillaceae__33958,g__Lactobacillus__1578,s__Lactobacillus ultunensis__227945,
Prochlorothrix,genus,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Prochlorotrichales__3079745,f__Prochlorotrichaceae__2303730,g__Prochlorothrix__1222,,
Burkholderia sp.,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Burkholderiaceae__119060,g__Burkholderia__32008,s__Burkholderia sp.__36773,
Solibacillus,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Planococcaceae__186818,g__Solibacillus__648800,,
Methylocystis,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Hyphomicrobiales__356,f__Methylocystaceae__31993,g__Methylocystis__133,,
Enterobacter quasihormaechei,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Enterobacter__547,s__Enterobacter quasihormaechei__2529382,
Prochlorotrichaceae,family,sk__Bacteria__2,p__Cyanobacteriota__1117,c__Cyanophyceae__3028117,o__Prochlorotrichales__3079745,f__Prochlorotrichaceae__2303730,,,
Azospirillum oryzae,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Azospirillaceae__2829815,g__Azospirillum__191,s__Azospirillum oryzae__286727,
Desulfitobacterium dichloroeliminans,species,sk__Bacteria__2,p__Bacillota__1239,c__Clostridia__186801,o__Eubacteriales__186802,f__Desulfitobacteriaceae__2937909,g__Desulfitobacterium__36853,s__Desulfitobacterium dichloroeliminans__233055,
Actinomycetospora,genus,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Pseudonocardiales__85010,f__Pseudonocardiaceae__2070,g__Actinomycetospora__402649,,
Candidatus Stoquefichus sp. SB1,species,sk__Bacteria__2,p__Bacillota__1239,c__Erysipelotrichia__526524,o__Erysipelotrichales__526525,f__Erysipelotrichaceae__128827,g__Candidatus Stoquefichus__1470349,s__Candidatus Stoquefichus sp. SB1__1658109,
Alkalibacterium,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Lactobacillales__186826,f__Carnobacteriaceae__186828,g__Alkalibacterium__99906,,
Rahnella aquatilis,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Yersiniaceae__1903411,g__Rahnella__34037,s__Rahnella aquatilis__34038,
Vibrio harveyi,species,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Vibrionales__135623,f__Vibrionaceae__641,g__Vibrio__662,s__Vibrio harveyi__669,
Peptoniphilus olsenii,species,sk__Bacteria__2,p__Bacillota__1239,c__Tissierellia__1737404,o__Tissierellales__1737405,f__Peptoniphilaceae__1570339,g__Peptoniphilus__162289,s__Peptoniphilus olsenii__411570,
Peterkaempfera griseoplana,species,sk__Bacteria__2,p__Actinomycetota__201174,c__Actinomycetes__1760,o__Kitasatosporales__85011,f__Streptomycetaceae__2062,g__Peterkaempfera__2995704,s__Peterkaempfera griseoplana__66896,
Novispirillum,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Alphaproteobacteria__28211,o__Rhodospirillales__204441,f__Novispirillaceae__3031145,g__Novispirillum__660514,,
Polaromonas,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Betaproteobacteria__28216,o__Burkholderiales__80840,f__Comamonadaceae__80864,g__Polaromonas__52972,,
Kurthia,genus,sk__Bacteria__2,p__Bacillota__1239,c__Bacilli__91061,o__Bacillales__1385,f__Planococcaceae__186818,g__Kurthia__1649,,
Phytobacter,genus,sk__Bacteria__2,p__Pseudomonadota__1224,c__Gammaproteobacteria__1236,o__Enterobacterales__91347,f__Enterobacteriaceae__543,g__Phytobacter__447792,,
