Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Mannose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotu Kola Digestion,metabolisms,[543] Enterobacteriaceae (0.0063),[135621] Pseudomonadaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreatic Neoplasms,conditions,[39777] Veillonella atypica (0.2439),[853] Faecalibacterium prausnitzii (-0.2439),[851] Fusobacterium nucleatum (0.1772),[419015] Alloscardovia omnicolens (0.1478),[1776391] Romboutsia timonensis (-0.1478),[1583098] Fusobacterium hwasookii (0.1478),[310298] Phocaeicola coprocola (-0.1478),[Probiotic] Bifidobacterium bifidum (-0.1478),[29466] Veillonella parvula (0.0962),[1303] Streptococcus oralis (0.0667),[1328] Streptococcus anginosus (0.0667),[158846] Megamonas (-0.0614),[1224] Pseudomonadota (0.0578),[200643] Bacteroidia (0.0457),[189330] Dorea (-0.0355),[29465] Veillonella (0.0352),[33042] Coprococcus (-0.033),[508458] Synergistota (0.0319),[201174] Actinomycetota (0.0319),[162290] Gallicola (-0.0319),[28890] Euryarchaeota (0.0319),[208479] Enterocloster bolteae (0.0295),[1512] [Clostridium] symbiosum (0.0295),[39778] Veillonella dispar (0.0295),[32066] Fusobacteriota (0.0295),[1236] Gammaproteobacteria (0.0295),[487173] Dialister succinatiphilus (-0.0295),[39491] Agathobacter rectalis (-0.0295),[166486] Roseburia intestinalis (-0.0295),[437897] Megamonas funiformis (-0.0295)
Adenomatous Polyposis Coli,conditions,[216851] Faecalibacterium (-0.0547),[1300] Streptococcaceae (-0.0547),[91061] Bacilli (-0.0547),[203492] Fusobacteriaceae (0.0547),[84107] Coriobacteriaceae (-0.0547),[201174] Actinomycetota (-0.0547),[853] Faecalibacterium prausnitzii (-0.0547),[28026] Bifidobacterium pseudocatenulatum (-0.0547),[84992] Acidimicrobiia (-0.0547),[2648737] unclassified Eggerthella (-0.0547),[848] Fusobacterium (0.0547),[84999] Coriobacteriales (-0.0547),[31953] Bifidobacteriaceae (-0.0547),[85004] Bifidobacteriales (-0.0547),[1301] Streptococcus (-0.0547),[84111] Eggerthella (-0.0547),[850] Fusobacterium mortiferum (0.0547),,,,,,,,,,,,,
Endometriosis,conditions,[39486] Dorea formicigenerans (-0.0166),[84112] Eggerthella lenta (0.0166),[310297] Phocaeicola plebeius (-0.0166),[31971] Amedibacillus dolichus (0.0166),[1263] Ruminococcus (-0.0166),[207244] Anaerostipes (-0.0166),[186804] Peptostreptococcaceae (-0.0152),[28050] Lachnospira (-0.0133),[189330] Dorea (-0.011),[572511] Blautia (-0.011),[397864] Barnesiella (-0.0102),[168808] Sneathia (-0.0102),[186802] Eubacteriales (-0.0091),[186803] Lachnospiraceae (-0.0089),[191303] Turicibacter (-0.0077),[816] Bacteroides (0.0077),[972] Halanaerobiaceae (-0.0077),[31969] Mollicutes (-0.0077),[84107] Coriobacteriaceae (-0.0077),[543] Enterobacteriaceae (0.0077),[119852] Oscillospira (0.0077),[577309] Paraprevotella (-0.0077),[447020] Adlercreutzia (-0.0077),[171549] Bacteroidales (-0.0077),[33042] Coprococcus (0.0077),[177971] Shuttleworthella (0.0075),[57493] Kocuria (-0.0075),[119060] Burkholderiaceae (-0.0075),[1407607] Fusicatenibacter (-0.0075),[1730] Eubacterium (0.0075)
Anhedonia,symptoms,[816] Bacteroides (0.0188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pruritus,symptoms,[33958] Lactobacillaceae (0.0147),[203492] Fusobacteriaceae (0.0147),[171551] Porphyromonadaceae (-0.0147),[186806] Eubacteriaceae (0.0147),[185291] unclassified Bacteroidales (0.0079),[348841] unclassified Clostridia (-0.0079),,,,,,,,,,,,,,,,,,,,,,,,
"Stress, Psychological",symptoms,[117563] Granulicatella (-0.1243),[816] Bacteroides (0.1005),[375288] Parabacteroides (0.1001),[2172] Methanobrevibacter (0.0982),[1827] Rhodococcus (0.0982),[1239] Bacillota (-0.0982),[33024] Phascolarctobacterium (-0.0982),[841] Roseburia (0.0904),[207244] Anaerostipes (-0.0096),[171551] Porphyromonadaceae (-0.0077),[128827] Erysipelotrichaceae (-0.0077),[1224] Pseudomonadota (0.0039),[80840] Burkholderiales (0.0039),[200643] Bacteroidia (0.0039),[171550] Rikenellaceae (0.0039),[28216] Betaproteobacteria (0.0039),[506] Alcaligenaceae (0.0039),[239759] Alistipes (-0.0038),[1301] Streptococcus (0.0023),[29465] Veillonella (0.0023),[40544] Sutterella (-0.0001),[33042] Coprococcus (-0.0001),[580596] Butyricicoccus (-0.0001),[1263] Ruminococcus (0.0001),[216851] Faecalibacterium (-0.0001),[1730] Eubacterium (0.0001),[543311] Parvimonas (0.0001),[28050] Lachnospira (-0.0001),,
Macular Degeneration,conditions,[28111] Bacteroides eggerthii (-0.0102),[39496] Eubacterium ventriosum (0.0102),[216572] Oscillospiraceae (0.0102),[244127] Anaerotruncus (0.0102),[459786] Oscillibacter (0.0102),[33039] [Ruminococcus] torques (0.0102),,,,,,,,,,,,,,,,,,,,,,,,
Bhringaraj Digestion,metabolisms,[31953] Bifidobacteriaceae (0.0063),[815] Bacteroidaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney Calculi,conditions,[847] Oxalobacter formigenes (-0.0433),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary Arterial Hypertension,conditions,[816] Bacteroides (-0.0229),[186803] Lachnospiraceae (-0.0229),[1678] Bifidobacterium (0.0229),[830] Butyrivibrio (-0.0229),[1730] Eubacterium (-0.0229),[33042] Coprococcus (-0.0229),[201174] Actinomycetota (0.0229),[239934] Akkermansia (-0.0229),,,,,,,,,,,,,,,,,,,,,,
"Stress Disorders, Post-Traumatic",conditions,[256846] Lentisphaera (-0.0039),[74201] Verrucomicrobiota (-0.0039),[201174] Actinomycetota (-0.0039),,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycerol Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitin Digestion,metabolisms,[200643] Bacteroidia (0.0666),[570] Klebsiella (-0.0519),[216851] Faecalibacterium (0.0519),[239759] Alistipes (0.0519),[41200] Bifidobacterium sp. (-0.0519),[1578] Lactobacillus (0.0519),[1498] Hathewaya histolytica (-0.0519),[39491] Agathobacter rectalis (-0.0519),[1350] Enterococcus (0.0519),[816] Bacteroides (-0.0519),[1485] Clostridium (0.0147),[1224] Pseudomonadota (0.0147),[1263] Ruminococcus (0.0147),[1301] Streptococcus (0.0147),[119852] Oscillospira (0.0147),[1678] Bifidobacterium (0.0147),[201174] Actinomycetota (0.0147),[28116] Bacteroides ovatus (0.0147),[29363] Clostridium paraputrificum (0.0001),[838] Prevotella (0.0),,,,,,,,,,
"Diabetes, Gestational",conditions,[39948] Dialister (-0.0334),[1432051] Eisenbergiella (0.023),[515620] [Eubacterium] eligens ATCC 27750 (-0.0169),[906] Megasphaera (-0.0167),[877420] Lachnospiraceae bacterium NK4A136 (0.0167),[39497] Eubacterium xylanophilum (-0.0167),[216572] Oscillospiraceae (0.0125),[572511] Blautia (0.0063),[189330] Dorea (0.0063),[42322] Eubacterium ruminantium (0.0063),[39291] Agroathelia rolfsii (-0.0063),[231052] Saccharibacter (0.0063),[207244] Anaerostipes (0.0063),[1906119] Candidatus Gastranaerophilales (0.0063),[816] Bacteroides (0.0063),[990719] Christensenellaceae (0.0063),[186807] Peptococcaceae (0.0063),[292632] Subdoligranulum (0.0063),[841] Roseburia (0.0063),[1508657] Ruminiclostridium (0.0063),[1678] Bifidobacterium (0.0063),[186801] Clostridia (0.0062),[165179] Segatella copri (-0.0001),[706562] Lactobacillus rogosae (-0.0001),[47678] Bacteroides caccae (0.0001),[204516] Phocaeicola massiliensis (0.0001),[821] Phocaeicola vulgatus (-0.0001),[818] Bacteroides thetaiotaomicron (0.0001),[375288] Parabacteroides (0.0),[28026] Bifidobacterium pseudocatenulatum (-0.0)
Pediatric Obesity,conditions,[39948] Dialister (-0.0204),[218538] Dialister invisus (-0.0204),[Probiotic] Akkermansia muciniphila (-0.0204),[818] Bacteroides thetaiotaomicron (-0.0204),[204516] Phocaeicola massiliensis (-0.0204),[158847] Megamonas hypermegale (0.0204),[239934] Akkermansia (-0.0204),[283168] Odoribacter (-0.0204),[28118] Odoribacter splanchnicus (-0.0204),[239759] Alistipes (-0.0204),[28117] Alistipes putredinis (-0.0204),[1239] Bacillota (0.0129),[816] Bacteroides (-0.0129),[821] Phocaeicola vulgatus (-0.0129),,,,,,,,,,,,,,,,
Black Pepper Digestion,metabolisms,[171550] Rikenellaceae (0.0034),[1678] Bifidobacterium (0.0034),[1228827] Influenza A virus) (0.0034),[81852] Enterococcaceae (0.0034),[543] Enterobacteriaceae (0.0034),[506] Alcaligenaceae (0.0034),,,,,,,,,,,,,,,,,,,,,,,,
"Lung Diseases, Interstitial",conditions,[Probiotic] Ligilactobacillus salivarius (0.0942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose Intolerance,symptoms,[1816687] Massiliprevotella massiliensis (-0.0142),[1519439] Oscillibacter sp. ER4 (-0.0142),[626940] Phascolarctobacterium succinatutens (-0.0142),[39778] Veillonella dispar (0.0142),[74426] Collinsella aerofaciens (-0.0142),[204516] Phocaeicola massiliensis (0.0142),[1228827] Influenza A virus) (0.01),,,,,,,,,,,,,,,,,,,,,,,
Sucrose Digestion,metabolisms,[820] Bacteroides uniformis (1.0),[28116] Bacteroides ovatus (1.0),[47678] Bacteroides caccae (1.0),[821] Phocaeicola vulgatus (1.0),[818] Bacteroides thetaiotaomicron (1.0),[817] Bacteroides fragilis (1.0),,,,,,,,,,,,,,,,,,,,,,,,
Polyphenols Digestion,metabolisms,[816] Bacteroides (0.037),[1578] Lactobacillus (0.0216),[186826] Lactobacillales (0.0185),[33958] Lactobacillaceae (0.0185),[200643] Bacteroidia (0.0185),[1532] Blautia coccoides (0.0031),[39491] Agathobacter rectalis (0.0031),[1678] Bifidobacterium (0.0031),[1350] Enterococcus (0.0031),,,,,,,,,,,,,,,,,,,,,
Thyroid Diseases,conditions,[817] Bacteroides fragilis (-0.0144),[1678] Bifidobacterium (-0.0144),[1578] Lactobacillus (-0.0144),[1239] Bacillota (-0.0144),[186803] Lachnospiraceae (0.0),[816] Bacteroides (0.0),,,,,,,,,,,,,,,,,,,,,,,,
Nausea,symptoms,[457394] Bacteroides sp. 4_3_47FAA (-0.0102),[375288] Parabacteroides (-0.0102),[1263] Ruminococcus (0.0102),[33042] Coprococcus (0.0102),[841] Roseburia (0.0102),[1743] Propionibacterium (0.0102),[1485] Clostridium (0.0102),[2173] Methanobrevibacter smithii (-0.0102),[469593] Bacteroides sp. 3_1_40A (-0.0102),[286] Pseudomonas (0.0102),[102106] Collinsella (-0.0102),[303] Pseudomonas putida (0.0102),[1005703] Propionibacterium sp. CC003-HC2 (0.0102),[936047] Propionibacterium sp. 409-HC1 (0.0102),[658081] Lachnospiraceae bacterium 1_1_57FAA (-0.0102),[292632] Subdoligranulum (-0.0102),[665951] Lachnospiraceae bacterium 8_1_57FAA (-0.0102),[816] Bacteroides (-0.0102),,,,,,,,,,,,
Insulin Resistance,symptoms,[1263] Ruminococcus (0.0537),[171550] Rikenellaceae (-0.0398),[140626] Lachnobacterium bovis (-0.0398),[418240] Blautia wexlerae (0.0398),[106588] Pseudoflavonifractor capillosus (-0.0398),[28117] Alistipes putredinis (-0.0398),[1485] Clostridium (-0.0398),[1519439] Oscillibacter sp. ER4 (-0.0142),[626940] Phascolarctobacterium succinatutens (-0.0142),[74426] Collinsella aerofaciens (-0.0142),[204516] Phocaeicola massiliensis (0.0142),[1680] Bifidobacterium adolescentis (-0.0142),[1816687] Massiliprevotella massiliensis (-0.0142),[28050] Lachnospira (0.0139),[1350] Enterococcus (0.0139),[508215] Rothia (0.0139),[838] Prevotella (-0.0139),[186803] Lachnospiraceae (0.0112),[31977] Veillonellaceae (0.0112),[562] Escherichia coli (0.0083),[1678] Bifidobacterium (-0.0083),[1301] Streptococcus (-0.0083),[816] Bacteroides (0.0083),[1578] Lactobacillus (-0.0083),[171552] Prevotellaceae (-0.0069),[906] Megasphaera (0.0009),[292800] Flavonifractor plautii (0.0),[105841] Anaerostipes caccae (0.0),[1855299] Oscillibacter sp. PC13 (-0.0),[39488] Anaerobutyricum hallii (-0.0)
Fibromyalgia,conditions,[186803] Lachnospiraceae (-0.0496),[100175] Papillibacter (0.0303),[1678] Bifidobacterium (-0.0303),[841] Roseburia (0.0303),[1730] Eubacterium (-0.0303),[189330] Dorea (0.0303),[292632] Subdoligranulum (0.0303),[29347] [Clostridium] scindens (0.0193),[729] Haemophilus parainfluenzae (-0.0193),[1506553] Lachnoclostridium (0.0193),[53443] Blautia hydrogenotrophica (0.0193),[1547] Thomasclavelia ramosa (0.0193),[216572] Oscillospiraceae (0.0193),[84107] Coriobacteriaceae (0.0193),[853] Faecalibacterium prausnitzii (-0.0193),[816] Bacteroides (0.0193),[35829] Acetivibrio (0.0193),[186802] Eubacteriales (0.0193),[1550024] Ruthenibacterium lactatiformans (0.0193),[165179] Segatella copri (-0.0193),[3062492] Blautia massiliensis (0.0193),[572511] Blautia (0.0193),[1720294] Eisenbergiella massiliensis (0.0193),[154046] Hungatella hathewayi (0.0193),[1297617] Intestinimonas butyriciproducens (0.0193),[46503] Parabacteroides merdae (0.0193),[820] Bacteroides uniformis (-0.0193),[375288] Parabacteroides (0.0193),[39484] Agathobaculum desmolans (0.0193),[1432052] Eisenbergiella tayi (0.0193)
Acne Vulgaris,symptoms,[580596] Butyricicoccus (-0.0021),[35832] Bilophila (-0.0021),[1357] Lactococcus (-0.0021),[182709] Oceanobacillus (-0.0021),[186802] Eubacteriales (-0.0021),[572511] Blautia (-0.0021),[1263] Ruminococcus (-0.0021),[1386] Bacillus (-0.0021),[400634] Lysinibacillus (-0.0021),[186803] Lachnospiraceae (-0.0021),[216572] Oscillospiraceae (-0.0021),[31979] Clostridiaceae (-0.0021),[1239] Bacillota (-0.0021),[186818] Planococcaceae (-0.0021),[1407607] Fusicatenibacter (-0.0021),[171549] Bacteroidales (0.0021),[117563] Granulicatella (-0.0021),[577309] Paraprevotella (-0.0021),[846] Oxalobacter (-0.0021),[186817] Bacillaceae (-0.0021),[44249] Paenibacillus (-0.0021),[165779] Anaerococcus (-0.0021),[212791] Enhydrobacter (-0.0021),[186801] Clostridia (-0.0021),[200643] Bacteroidia (0.0021),[204475] Gemmiger (-0.0021),[114627] Alkaliphilus (-0.0021),[194924] Desulfovibrionaceae (-0.0021),[186822] Paenibacillaceae (-0.0021),[1578] Lactobacillus (-0.0)
Polycystic Ovary Syndrome,conditions,[1769710] Sellimonas (-0.1265),[4893] Saccharomycetaceae (0.0879),[5204] Basidiomycota (-0.0879),[654128] Marasmiaceae (0.0879),[28568] Trichocomaceae (-0.0879),[5052] Aspergillus (-0.0879),[4890] Ascomycota (0.0879),[4930] Saccharomyces (0.0879),[155616] Tremellomycetes (-0.0586),[104409] Filobasidium magnum (-0.0586),[4891] Saccharomycetes (0.0586),[4892] Saccharomycetales (0.0586),[4932] Saccharomyces cerevisiae (0.0586),[5353] Lentinula edodes (0.0586),[5042] Eurotiales (-0.0586),[1940338] Escherichia/Shigella sp. (0.0524),[1283313] Alloprevotella (-0.0477),[33038] Mediterraneibacter gnavus (0.0449),[200643] Bacteroidia (-0.0438),[5475] Candida (0.0433),[84108] Slackia (-0.0422),[100883] Coprobacillus (-0.0422),[216851] Faecalibacterium (-0.0385),[1501226] Romboutsia (0.0385),[817] Bacteroides fragilis (0.0348),[32066] Fusobacteriota (0.0322),[544448] Mycoplasmatota (-0.0308),[397864] Barnesiella (-0.0306),[604195] Cyberlindnera (-0.0293),[1759442] Trichosporonaceae (-0.0293)
HIV-1,conditions,[906] Megasphaera (0.2277),[216572] Oscillospiraceae (-0.2249),[841] Roseburia (-0.2206),[216851] Faecalibacterium (-0.2062),[119852] Oscillospira (-0.1997),[1224] Pseudomonadota (0.1907),[1485] Clostridium (-0.1821),[207244] Anaerostipes (-0.181),[135858] Catenibacterium (0.1731),[1678] Bifidobacterium (-0.1716),[32066] Fusobacteriota (0.167),[31953] Bifidobacteriaceae (-0.1667),[815] Bacteroidaceae (-0.1553),[239759] Alistipes (-0.1493),[561] Escherichia (0.1403),[1730] Eubacterium (0.1381),[201174] Actinomycetota (-0.1376),[375288] Parabacteroides (-0.1335),[118747] Bulleidia (0.1335),[84107] Coriobacteriaceae (0.1316),[86331] Mogibacterium (0.1316),[712] Pasteurellaceae (-0.1316),[84108] Slackia (0.1316),[2005519] Barnesiellaceae (-0.1244),[1735] Holdemanella biformis (0.119),[28117] Alistipes putredinis (-0.119),[47678] Bacteroides caccae (-0.119),[28116] Bacteroides ovatus (-0.119),[74426] Collinsella aerofaciens (0.119),[33038] Mediterraneibacter gnavus (0.1156)
Amyloid,symptoms,[649756] Anaerostipes hadrus (0.0752),[116085] Coprococcus catus (0.0752),[46228] [Ruminococcus] lactaris (0.0752),[2317] Methanosphaera stadtmanae (-0.0752),[853] Faecalibacterium prausnitzii (0.0752),[39486] Dorea formicigenerans (0.0752),[1897011] Oscillibacter sp. 57_20 (0.0752),[216572] Oscillospiraceae (-0.0299),[186801] Clostridia (-0.0299),[28221] Deltaproteobacteria (-0.0299),[171549] Bacteroidales (0.0299),[186803] Lachnospiraceae (-0.0299),[216851] Faecalibacterium (-0.0299),[186802] Eubacteriales (-0.0299),[1239] Bacillota (-0.0299),[213115] Desulfovibrionales (-0.0299),[200643] Bacteroidia (0.0299),[194924] Desulfovibrionaceae (-0.0299),[35832] Bilophila (-0.0299),[1350] Enterococcus (-0.0064),[52225] Mitsuokella (-0.0064),[32067] Leptotrichia (0.0064),[172900] Victivallis (-0.0064),[613] Serratia (0.0064),[158846] Megamonas (-0.0064),[1485] Clostridium (0.0064),,,,
"Glomerulonephritis, IGA",conditions,[724] Haemophilus (-0.0166),[32066] Fusobacteriota (-0.0166),[508458] Synergistota (-0.0166),[1224] Pseudomonadota (0.0166),[447456] candidate division TM7 single-cell isolate TM7c (0.0166),[848] Fusobacterium (-0.0166),[841] Roseburia (-0.0166),[186803] Lachnospiraceae (-0.0166),[33958] Lactobacillaceae (-0.0063),[31953] Bifidobacteriaceae (-0.0063),[1300] Streptococcaceae (0.0063),[84107] Coriobacteriaceae (0.0063),[543] Enterobacteriaceae (-0.0063),[171552] Prevotellaceae (-0.0063),[186806] Eubacteriaceae (0.0063),[506] Alcaligenaceae (-0.0063),[815] Bacteroidaceae (-0.0063),[292800] Flavonifractor plautii (0.0),[310297] Phocaeicola plebeius (0.0),[33038] Mediterraneibacter gnavus (0.0),[821] Phocaeicola vulgatus (0.0),[165179] Segatella copri (-0.0),[28117] Alistipes putredinis (-0.0),[817] Bacteroides fragilis (0.0),,,,,,
Uveomeningoencephalitic Syndrome,conditions,[39488] Anaerobutyricum hallii (-0.0952),[562] Escherichia coli (0.0952),[853] Faecalibacterium prausnitzii (-0.0952),[35832] Bilophila (0.0952),[39486] Dorea formicigenerans (-0.0952),[2030927] Bacteroidales bacterium (0.0952),[292632] Subdoligranulum (-0.0952),[410072] Coprococcus comes (-0.0952),[Probiotic] Streptococcus salivarius (-0.0952),[561] Escherichia (0.0952),[457412] Ruminococcus sp. 5_1_39BFAA (-0.0952),[310297] Phocaeicola plebeius (-0.0952),[310298] Phocaeicola coprocola (0.0952),[387090] Phocaeicola coprophilus (0.0952),[1694] Bifidobacterium pseudolongum (-0.0952),[Probiotic] Lactobacillus gasseri (-0.0952),[74426] Collinsella aerofaciens (-0.0952),[658081] Lachnospiraceae bacterium 1_1_57FAA (-0.0952),[28117] Alistipes putredinis (0.0952),[40520] Blautia obeum (-0.0952),[40545] Sutterella wadsworthensis (0.0952),[363265] Leyella stercorea (0.0952),[437897] Megamonas funiformis (0.0952),[165179] Segatella copri (0.0952),[754051] Vibrio phage pYD38-A (0.0952),[626940] Phascolarctobacterium succinatutens (0.0952),[28026] Bifidobacterium pseudocatenulatum (-0.0952),[46506] Bacteroides stercoris (0.0952),[328814] Alistipes shahii (0.0952),[515620] [Eubacterium] eligens ATCC 27750 (-0.0952)
Prehypertension,conditions,[1678] Bifidobacterium (-0.1019),[570] Klebsiella (0.1019),[838] Prevotella (0.1019),[459786] Oscillibacter (-0.1019),[33042] Coprococcus (-0.1019),[841] Roseburia (-0.1019),[216851] Faecalibacterium (-0.1019),[830] Butyrivibrio (-0.1019),,,,,,,,,,,,,,,,,,,,,,
Pectin Digestion,metabolisms,[816] Bacteroides (0.0098),[818] Bacteroides thetaiotaomicron (0.0098),[216851] Faecalibacterium (0.0078),[28050] Lachnospira (0.0078),[1493] Clostridium cellulovorans (0.0065),,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric Digestion,metabolisms,[53443] Blautia hydrogenotrophica (0.0034),[815] Bacteroidaceae (0.0034),[745368] Gemmiger formicilis (0.0034),[39491] Agathobacter rectalis (0.0034),[821] Phocaeicola vulgatus (0.0034),[171550] Rikenellaceae (0.0034),[1506] Clostridium sp. (0.0034),[186803] Lachnospiraceae (0.0034),[244366] Klebsiella variicola (0.0034),[40518] Ruminococcus bromii (0.0034),[301301] Roseburia hominis (0.0034),[187327] Acidaminococcus intestini (0.0034),[572511] Blautia (0.0034),[42895] Enterobacter sp. (0.0034),[547] Enterobacter (0.0034),[29523] Bacteroides sp. (0.0034),[194924] Desulfovibrionaceae (0.0034),[292800] Flavonifractor plautii (0.0034),,,,,,,,,,,,
Melanoma,conditions,[1506553] Lachnoclostridium (0.0081),[207244] Anaerostipes (-0.0081),[216572] Oscillospiraceae (0.0081),[1678] Bifidobacterium (-0.0081),[189330] Dorea (-0.0081),[1348911] Coprobacter (0.0081),[39488] Anaerobutyricum hallii (-0.0081),[375288] Parabacteroides (0.0081),[102106] Collinsella (-0.0081),[1301] Streptococcus (-0.0081),[816] Bacteroides (0.0081),[572511] Blautia (-0.0081),[447020] Adlercreutzia (-0.0081),[28050] Lachnospira (0.0081),,,,,,,,,,,,,,,,
Nephritis,conditions,[239759] Alistipes (0.0),[239934] Akkermansia (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hepatitis, Autoimmune",conditions,[1678] Bifidobacterium (-0.0),[1578] Lactobacillus (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidradenitis Suppurativa,conditions,[33043] Coprococcus eutactus (-0.0091),[40518] Ruminococcus bromii (-0.0091),[1407607] Fusicatenibacter (-0.0006),[49928] unclassified Bacteria (-0.0006),[39779] unclassified Eubacteriales (-0.0006),[84086] unclassified Bacillota (-0.0006),[33038] Mediterraneibacter gnavus (0.0),[361210] unclassified Porphyromonadaceae (-0.0),[1769710] Sellimonas (0.0),[1743] Propionibacterium (0.0),[3025755] Thomasclavelia (0.0),[397864] Barnesiella (0.0),[1410626] Lachnospiraceae bacterium NC2004 (-0.0),[543314] Eubacteriales Family XIII. Incertae Sedis (0.0),[1732] Eubacterium oxidoreducens (-0.0),[39496] Eubacterium ventriosum (-0.0),[1279] Staphylococcus (0.0),[186928] unclassified Lachnospiraceae (0.0),[115543] Parasporobacterium (-0.0),[1716] Corynebacterium (0.0),[1501226] Romboutsia (0.0),[1506553] Lachnoclostridium (0.0),[588605] Robinsoniella (0.0),[946234] Flavonifractor (0.0),[990719] Christensenellaceae (-0.0),[459786] Oscillibacter (0.0),[84111] Eggerthella (0.0),[140625] Lachnobacterium (-0.0),[29465] Veillonella (-0.0),[61170] Holdemania (0.0)
Levan Digestion,metabolisms,[818] Bacteroides thetaiotaomicron (1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Disease,conditions,[821] Phocaeicola vulgatus (-0.1051),[357276] Phocaeicola dorei (-0.1051),[816] Bacteroides (-0.1051),[572511] Blautia (-0.1021),[186802] Eubacteriales (-0.1021),[2840493] Lachnospiraceae incertae sedis (-0.1021),[186803] Lachnospiraceae (-0.1021),[1407607] Fusicatenibacter (-0.1021),[841] Roseburia (-0.1021),[216851] Faecalibacterium (-0.1021),[1378] Gemella (-0.1021),[216572] Oscillospiraceae (-0.1021),[577310] Parasutterella (-0.1021),[189330] Dorea (-0.1021),[580596] Butyricicoccus (-0.1021),[207244] Anaerostipes (-0.1021),[459786] Oscillibacter (-0.1021),[1578] Lactobacillus (-0.1021),[1678] Bifidobacterium (-0.1021),[165179] Segatella copri (0.0994),[853] Faecalibacterium prausnitzii (0.0994),[186826] Lactobacillales (0.0058),[909930] Acidaminococcaceae (-0.0036),[33024] Phascolarctobacterium (-0.0036),[200643] Bacteroidia (-0.0022),,,,,
Triglycerides,symptoms,[572511] Blautia (0.0875),[186802] Eubacteriales (-0.074),[1239] Bacillota (-0.074),[28050] Lachnospira (-0.0668),[1236] Gammaproteobacteria (-0.0668),[816] Bacteroides (-0.0668),[147206] Collinsella stercoris (0.0668),[574697] Butyricimonas (-0.0668),[33042] Coprococcus (-0.0668),[1853231] Odoribacteraceae (-0.0668),[283168] Odoribacter (-0.0668),[80840] Burkholderiales (-0.0668),[61170] Holdemania (0.0668),[84111] Eggerthella (0.0668),[990719] Christensenellaceae (-0.0668),[31979] Clostridiaceae (-0.0668),[1385] Bacillales (0.0668),[544448] Mycoplasmatota (-0.0668),[712] Pasteurellaceae (-0.0668),[171549] Bacteroidales (-0.0668),[171550] Rikenellaceae (-0.0668),[815] Bacteroidaceae (-0.0668),[2005519] Barnesiellaceae (-0.0668),[186803] Lachnospiraceae (-0.0511),[102106] Collinsella (0.0207),[29465] Veillonella (-0.0207),[39496] Eubacterium ventriosum (0.0207),[74201] Verrucomicrobiota (0.0207),[580596] Butyricicoccus (0.0207),[1350] Enterococcus (-0.0207)
"Diabetes Mellitus, Type 2",conditions,[853] Faecalibacterium prausnitzii (-0.5134),[165179] Segatella copri (0.2815),[841] Roseburia (-0.2558),[47678] Bacteroides caccae (0.2501),[562] Escherichia coli (0.2486),[1505657] Intestinibacter (-0.236),[1512] [Clostridium] symbiosum (0.2198),[166486] Roseburia intestinalis (-0.2198),[1547] Thomasclavelia ramosa (0.2198),[84112] Eggerthella lenta (0.2198),[360807] Roseburia inulinivorans (-0.2196),[1884818] Escherichia sp. (0.2194),[1531] Enterocloster clostridioformis (0.2192),[1309] Streptococcus mutans (0.2192),[Probiotic] Lactobacillus gasseri (0.2192),[186802] Eubacteriales (0.209),[84107] Coriobacteriaceae (-0.1963),[154046] Hungatella hathewayi (0.1895),[821] Phocaeicola vulgatus (0.1886),[329854] Bacteroides intestinalis (-0.1693),[572511] Blautia (-0.1284),[31979] Clostridiaceae (-0.0986),[1501226] Romboutsia (-0.0906),[447020] Adlercreutzia (-0.0906),[1239] Bacillota (-0.0803),[1263] Ruminococcus (-0.077),[74201] Verrucomicrobiota (-0.0688),[201174] Actinomycetota (0.0678),[186803] Lachnospiraceae (-0.0671),[574697] Butyricimonas (0.0615)
